id;foodName;category;preparation;gi;giMin;giMax;carbsPer100g;defaultPortion;evidence;note;sourceTitle;sourceUrl
oves-steel-cut;Ovsená kaša;Obilniny a raňajky;z rezaného ovsa (steel-cut);50;48;53;10.5;250;Reprezentatívna hodnota z viacerých testovaných variantov;Menej narušená štruktúra zrna bývá spojena s nižším GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
muesli-prirodni;Müsli;Obilniny a raňajky;nepražené, bez pridaného cukru;55;40;62;60.0;60;Reprezentatívna hodnota z viacerých testovaných variantov;Rozpätie je široké podľa podielu vločiek, orechov, semien a sušeného ovocia.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
muesli-prazene;Müsli alebo granola;Obilniny a raňajky;pražené alebo chrumkavé;65;62;86;64.0;60;Reprezentatívna hodnota z viacerých testovaných variantov;Pražení, jemnejšia štruktúra a pridaná sladidla môžu GI aj množstvo sacharidov zvýšiť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cornflakes;Kukuričné lupienky;Obilniny a raňajky;bežné cornflakes;77;66;93;81.0;40;Reprezentatívna hodnota z viacerých testovaných variantov;"Testované výrobky sa výrazne líšia; väčšina je vo vysokom pásme GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bran-flakes;Otrubové lupienky;Obilniny a raňajky;bran flakes;65;50;74;67.0;40;Reprezentatívna hodnota z viacerých testovaných variantov;"Obsah vlákniny sám o sebe nezaručuje nízky GI; dôležitá je štruktúra výrobku.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jecne-kroupy-varene;Jačmenné krúpy;Obilniny a raňajky;varené;25;22;35;24.4;180;Reprezentatívna hodnota z viacerých testovaných variantov;Míra obroušení, odroda a dĺžka varenie môžu hodnotu posunout.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pohanka-kroupy-varena;Pohanka;Obilniny a raňajky;kroupy, varené;50;46;51;17.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Hodnota platí pre varené kroupy; vločky alebo instantná kaše môžu mít vyšší GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pohankova-kase-vlocky;Pohánková kaša;Obilniny a raňajky;z vločiek alebo instantnejšej úpravy;71;65;76;15.0;250;Reprezentatívna hodnota z viacerých testovaných variantov;Výraznejšie technologické narušenie zrna môže GI oproti celým krúpam zvýšiť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bulgur-vareny;Bulgur;Obilniny a raňajky;varený;46;45;55;14.1;180;Reprezentatívna hodnota z viacerých testovaných variantov;Hrubšie bulgur a kratšie varenie zvyčajne spomaľujú trávenie.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kuskus-vareny;Kuskus;Obilniny a raňajky;zaliaty horúcou vodou;65;65;65;21.8;180;Priame testovanie konkrétneho variantu;"Priamo testovaná variant; celozrnný alebo perlový kuskus sa môže líšiť.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
quinoa-bila-varena;Quinoa;Obilniny a raňajky;biela, varená;50;50;53;18.5;180;Reprezentatívna hodnota z viacerých testovaných variantov;Rozpätie vychádza z niekoľkých testovaných varených variantov.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
proso-jahly-varene;Pšeno;Obilniny a raňajky;varené;64;64;89;22.4;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Odroda a spôsob varenia majú veľký vplyv; preto je rozpätie zámerne široké.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
polenta-varena;Polenta;Obilniny a raňajky;kukuričná kaše, varená;68;68;68;12.5;250;Priame testovanie konkrétneho variantu;"Priamo testovaná kukuričná kaše; instantná výrobky sa môžu líšiť.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-basmati-bila;Ryža basmati;Ryža;biela, varená;62;57;67;25.2;180;Reprezentatívna hodnota z viacerých testovaných variantov;Pôvodný GI 50 bol príliš nízky jako obecná hodnota. Testované biele basmati sa často pohybovali približne 57–67.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-basmati-parboiled;Ryža basmati;Ryža;parboiled, varená;52;52;54;25.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;Predvarenie v pare môže pri niektorých výrobkoch znížiť GI oproti bežnej bielej ryži.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-jasminova;Jazmínová ryža;Ryža;biela, varená;89;80;96;27.3;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Pôvodný GI 80 zachytával spodnú hranicu; väčšina testovaných jazmínových ryží je vyššie.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-dlouhozrnna-bila;Dlhozrnná ryža;Ryža;biela, varená;60;47;76;26.3;180;Reprezentatívna hodnota z viacerých testovaných variantov;Odroda, obsah amylózy a spôsob varenia spôsobujú veľmi široké rozpätie.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-natural;Natural ryža;Ryža;hnedá, varená;65;48;87;21.7;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Hnedá farba sama osebe nezaručuje nízky GI; záleží na odrode a spracovaní.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-parboiled;Parboiled ryža;Ryža;dlouhozrnná, varená;57;48;74;25.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Jednotlivé značky a odrody sa líšia; použitá je reprezentatívna stredná hodnota.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-lepkava;Lepkavá ryža;Ryža;sticky rice, varená;92;92;92;28.0;180;Priame testovanie konkrétneho variantu;Priamo testovaná lepkavá ryža mala vysoký GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-sushi;Ryža na sushi;Ryža;"krátkozrnná, varená; bez započítania cukru v náleve";89;80;92;28.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Krátkozrnná ryža bývá vysoko; ochucení cukrem množstvo sacharidov dále zvýší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzova-kase;Ryžová kaša;Ryža;rozvarená alebo instantnejšia;78;70;90;14.0;250;Reprezentatívna hodnota z viacerých testovaných variantov;Rozvarenie a jemná štruktúra zvyčajne zvyšujú dostupnosť škrobu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzove-chlebicky;Ryžové chlebíky;Ryža;pufované;82;76;105;80.0;20;Reprezentatívna hodnota z viacerých testovaných variantov;"Pufování výrazne narúša štruktúru škrobu; testované výrobky majú veľmi široké a často vysoké GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
spagety-al-dente;Špagety;Cestoviny a rezance;al dente;45;32;52;28.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Pevnejšia štruktúra cestovín spomaľuje trávenie škrobu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
spagety-mekke;Špagety;Cestoviny a rezance;domäkka uvarené;58;52;64;28.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Dlhšie varenie zvyšuje želatinizáciu škrobu a môže GI zvýšiť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
spagety-celozrnne;Špagety;Cestoviny a rezance;celozrnné, varené;55;48;62;24.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Celozrnné varianty sa líšia podľa hrubosti múky a času varenia.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
penne-varene;Penne;Cestoviny a rezance;uvarené al dente;50;44;59;27.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Rozpätie vychádza z viacerých testovaných výrobkov a rôznych časov varenia.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fusilli-varene;Fusilli;Cestoviny a rezance;uvarené al dente;55;49;61;27.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Tvar, výrobce a stupeň uvarenie ovplyvňujú výsledok.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
tagliatelle-vajecne;Vaječné rezance alebo tagliatelle;Cestoviny a rezance;varené;55;47;62;25.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Použitá je reprezentatívna hodnota pre pšeničné vaječné cestoviny.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
lasagne-platy;Lasagne;Cestoviny a rezance;uvarené pláty bez omáčky;53;45;60;25.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Výpočet sa týka iba cestovinovej zložky, nie celého zmiešaného jedla.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
gnocchi-bramborove;Gnocchi;Cestoviny a rezance;bramborové, varené;68;68;68;29.0;200;Priame testovanie konkrétneho variantu;"Priamo testovaný variant; receptúry s rôznym podielom zemiakov a múky sa môžu líšiť.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzove-testoviny;Ryžové cestoviny;Cestoviny a rezance;bezlepkové, varené;51;51;51;25.0;200;Priame testovanie konkrétneho variantu;Priamo testovaná bezlepková ryžová pasta.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
psenicne-nudle;Pšeničné rezance;Cestoviny a rezance;sušené, varené;62;55;62;25.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;Dĺžka varenie a použitá múka môžu hodnotu zmeniť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-varny-typ-a;Zemiaky;Zemiaky a ďalšie prílohy;"voskové, varené; varný typ A";63;53;69;15.4;200;Reprezentatívna hodnota z viacerých testovaných variantov;Nižšie hodnoty sa týkajú konkrétnych voskových odrôd, napríklad Nicola alebo Charlotte.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-varny-typ-c;Zemiaky;Zemiaky a ďalšie prílohy;"múčnaté, varené; varný typ C";79;74;101;15.4;200;Reprezentatívna hodnota z viacerých testovaných variantov;"Múčnaté odrody mívají často vyšší GI; odroda je zásadná.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-ve-slupce;Zemiaky;Zemiaky a ďalšie prílohy;varené v šupke;65;58;82;15.4;200;Reprezentatívna hodnota z viacerých testovaných variantov;"Šupka sama nezaručuje nízky GI; dôležitá je odroda, rozvarenie a veľkosť kúskov.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bramborova-kase-domaci;Zemiaková kaša;Zemiaky a ďalšie prílohy;domáca z varených zemiakov;76;68;81;14.0;250;Reprezentatívna hodnota z viacerých testovaných variantov;"Pôvodný GI 87 bol príliš vysoký pre bežnú domácu kašu; instantná kaša je uvedená osobitne.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bramborova-kase-instantni;Zemiaková kaša;Zemiaky a ďalšie prílohy;instantná;88;69;97;13.0;250;Reprezentatívna hodnota z viacerých testovaných variantov;Technologické spracovanie a jemná štruktúra často vedou k vyššímu GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-pecene;Zemiaky;Zemiaky a ďalšie prílohy;pečené;90;69;103;18.0;250;Reprezentatívna hodnota z viacerých testovaných variantov;Pečené zemiaky majú často vysoký GI, ale výsledok sa výrazne mení podľa odrody.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hranolky-trouba;Hranolky;Zemiaky a ďalšie prílohy;pečené v rúre;65;55;76;25.0;150;Reprezentatívna hodnota z viacerých testovaných variantov;Použite sacharidy z etikety konkrétneho výrobku.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hranolky-smazene;Hranolky;Zemiaky a ďalšie prílohy;vyprážané;63;42;76;35.0;150;Reprezentatívna hodnota z viacerých testovaných variantov;Tuk môže spomaliť vyprázdňovanie žalúdka, ale energetická hodnota a množstvo sacharidov zostávajú významné.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bataty-varene;Batáty;Zemiaky a ďalšie prílohy;varené;46;41;61;17.1;200;Reprezentatívna hodnota z viacerých testovaných variantov;"Varenie vedie zvyčajne k nižším hodnotám než pečení; odrody sa líšia.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bataty-pecene;Batáty;Zemiaky a ďalšie prílohy;pečené;87;82;94;20.1;200;Reprezentatívna hodnota z viacerých testovaných variantov;Pečení môže výrazne zvýšiť dostupnosť škrobu oproti varenie.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kukurice-sladka;Sladká kukurica;Zemiaky a ďalšie prílohy;varená alebo z mikrovlnnej rúry;53;51;55;12.9;150;Reprezentatívna hodnota z viacerých testovaných variantov;Rozpätie vychádza z priamo testovaných variantov sladkej kukurice.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cocka-cervena;Šošovica;Strukoviny;červená, varená;26;14;42;12.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Odroda a miera rozvarenia spôsobujú rozdiely; strukoviny bývajú väčšinou v nízkom pásme GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cocka-zelena-hneda;Šošovica;Strukoviny;zelená alebo hnedá, varená;30;22;42;12.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;Pevnejšie zrná zvyčajne spomaľujú trávenie oproti silno rozvarenej šošovici.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cizrna-varena;Cícer;Strukoviny;varená;28;10;36;19.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;Rozpätie zahŕňa rôzne odrody a spôsoby varenia.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-cervene;Fazuľa;Strukoviny;červené kidney, varené;24;19;35;16.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;Hodnoty sa líšia medzi konzervovanými fazuľami a fazuľami varenými doma.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-bile;Fazuľa;Strukoviny;biele, varené;31;24;40;18.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;Použitá je reprezentatívna hodnota pre varené biele fazuľa.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-v-tomatove-omacce;Fazuľa;Strukoviny;v paradajkovej omáčke, konzervované;40;35;48;12.9;200;Reprezentatívna hodnota z viacerých testovaných variantov;"Pridaný cukor v omáčke môže zvýšiť množstvo sacharidov; použite etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hrasok-zeleny;Hrášok;Strukoviny;zelený, varený;51;39;54;10.0;150;Reprezentatívna hodnota z viacerých testovaných variantov;Čerstvý, mražený a konzervovaný hrášok sa môžu líšiť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hras-loupany;Hrach;Strukoviny;lúpaný, varený;32;25;35;13.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;Rozvarenie a odroda môžu hodnotu zmeniť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-cerne;Fazuľa;Strukoviny;čierne, varené;30;20;35;16.0;180;Reprezentatívna hodnota z viacerých testovaných variantov;"Zvyčajne nízky GI; presná hodnota závisí od odrody a prípravy.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hummus;Hummus;Strukoviny;cícerová nátierka;15;6;15;14.0;80;Reprezentatívna hodnota z viacerých testovaných variantov;"Receptúry sa líšia množstvím cizrny, tahini a ďalších surovin; použite etiketu, je-li dostupná.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jablko;Jablko;Ovocie;surové so šupkou;44;36;44;12.1;150;Reprezentatívna hodnota z viacerých testovaných variantov;"Aktuálne priamo testovaná surová jablka mala GI 44; odroda a zrelosť môžu výsledok mierne posunout.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hruska;Hruška;Ovocie;surová, zrelá;38;24;42;12.1;160;Reprezentatívna hodnota z viacerých testovaných variantov;Nezralá hruška môže mít nižší GI než veľmi zrelá.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
banan-stredne-zraly;Banán;Ovocie;stredne zrelý;49;47;53;20.1;120;Reprezentatívna hodnota z viacerých testovaných variantov;Zrelosť významne mení zloženie škrobu a cukrov.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
banan-prezraly;Banán;Ovocie;prezretý;57;57;57;20.1;120;Priame testovanie konkrétneho variantu;Priamo testovaný prezretý banán mal vyšší GI ako bežne zrelý variant.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pomeranc;Pomaranč;Ovocie;surový;45;40;45;9.1;180;Reprezentatívna hodnota z viacerých testovaných variantov;Celý plod obsahuje štruktúru a vlákninu, ktoré džús nemá.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mandarinka;Mandarinka;Ovocie;surová;47;42;50;10.0;120;Reprezentatívna hodnota z viacerých testovaných variantov;"Reprezentatívna hodnota pre citrusový plod; odrody sa líšia.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
grapefruit;Grapefruit;Ovocie;surový;25;25;35;8.0;200;Reprezentatívna hodnota z viacerých testovaných variantov;"Nízká hodnota je orientačný; veľkosť a sladkost plodu sa líšia.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hrozny;Hrozno;Ovocie;čerstvé;54;50;59;17.0;150;Reprezentatívna hodnota z viacerých testovaných variantov;"Pôvodný GI 59 odpovídal horní hranici; reprezentatívna hodnota je približne 54.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jahody;Jahody;Ovocie;čerstvé;40;25;41;5.7;150;Reprezentatívna hodnota z viacerých testovaných variantov;Nízke množstvo sacharidov v bežné porcii zvyčajne vedie k nízke GL.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
boruvky;Čučoriedky;Ovocie;čerstvé;53;50;53;12.1;150;Reprezentatívna hodnota z viacerých testovaných variantov;Hodnota vychádza okrem iného z priamo testovaných divých čučoriedok.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
maliny;Maliny;Ovocie;čerstvé;25;25;32;5.4;150;Reprezentatívna hodnota z viacerých testovaných variantov;GI je orientačný, ale nízke množství dostupných sacharidov udržuje GL porcie nízkou.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
meloun-vodni;Vodný melón;Ovocie;čerstvý;51;47;55;7.1;250;Reprezentatívna hodnota z viacerých testovaných variantov;"Novšie testované hodnoty sú približne 47–55; staršie tabulky často uvádzali vyšší čísla.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mango;Mango;Ovocie;čerstvé;51;41;56;13.5;150;Reprezentatívna hodnota z viacerých testovaných variantov;Odroda a zrelosť majú vliv na GI aj obsah cukrov.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ananas;Ananas;Ovocie;čerstvý;59;51;66;11.7;150;Reprezentatívna hodnota z viacerých testovaných variantov;Čerstvý, konzervovaný a veľmi zrelý ananas sa môžu líšiť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
broskev;Broskyňa;Ovocie;čerstvá;42;28;56;8.5;150;Reprezentatívna hodnota z viacerých testovaných variantov;Rozpätie je širšie pre rozdiely medzi odrodami a stupňami zrelosti.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
nektarinka;Nektarinka;Ovocie;čerstvá;43;43;43;9.0;150;Priame testovanie konkrétneho variantu;Priamo testovaná čerstvá nektarinka.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kiwi;Kiwi;Ovocie;čerstvé;47;47;47;11.0;150;Priame testovanie konkrétneho variantu;Priamo testovaná čerstvá variant.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
tresne;Čerešne;Ovocie;čerstvé;22;22;29;13.8;150;Reprezentatívna hodnota z viacerých testovaných variantov;Odroda a zrelosť môžu hodnotu meniť.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
svestky;Slivky;Ovocie;čerstvé;35;24;40;10.2;150;Reprezentatívna hodnota z viacerých testovaných variantov;Použitá je reprezentatívna hodnota pre čerstvé slivky.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
merunky;Marhule;Ovocie;čerstvé;38;34;42;9.1;150;Reprezentatívna hodnota z viacerých testovaných variantov;Priamo testované čerstvé marhule sa pohybovaly približne 34–42.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
merunky-susene;Sušené marhule;Ovocie;nesladené;42;32;56;55.0;40;Reprezentatívna hodnota z viacerých testovaných variantov;GI môže byť nízky až stredná, ale koncentrované sacharidy môžu zvýšiť GL porcie.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
rozinky;Hrozienka;Ovocie;sušené;64;54;66;75.0;40;Reprezentatívna hodnota z viacerých testovaných variantov;Malá hmotnosť porcie je dôležitá, pretože sacharidy sú koncentrované.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
datle;Datle;Ovocie;sušené, bežné odrody;49;46;54;70.0;40;Reprezentatívna hodnota z viacerých testovaných variantov;Priamo testované odrody sa často pohybovali približne 46–54.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mleko-polotucne;Mlieko;Mliečne výrobky;polotučné;29;25;31;4.8;250;Reprezentatívna hodnota z viacerých testovaných variantov;Mliečne výrobky môžu vyvolávať vyššiu inzulínovú odpoveď, než by samotný GI naznačoval.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
