id;foodName;category;preparation;gi;giMin;giMax;carbsPer100g;defaultPortion;evidence;note;sourceTitle;sourceUrl
ovesne-vlocky-suche;Ovesné vločky;Obiloviny a snídaně;"tradiční vločky; porce zadána v suchém stavu";55;49;63;57.6;60;Reprezentativní hodnota z více testovaných variant;GI odpovídá tradičním vločkám po běžné přípravě, zatímco sacharidy se počítají z navážené suché porce.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ovesna-kase-huste-vlocky;Ovesná kaše;Obiloviny a snídaně;z hrubých nebo silných vloček, vařená;55;49;63;10.1;250;Reprezentativní hodnota z více testovaných variant;Hrubší vločky a kratší vaření mívají nižší GI než jemné nebo instantní varianty.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ovesna-kase-jemne-vlocky;Ovesná kaše;Obiloviny a snídaně;z jemných vloček, déle vařená;76;70;81;10.1;250;Reprezentativní hodnota z více testovaných variant;Jemné vločky a delší rozvaření zpřístupňují škrob rychleji.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ovesna-kase-instantni;Ovesná kaše;Obiloviny a snídaně;instantní, připravená ve vodě;82;76;87;12.0;250;Reprezentativní hodnota z více testovaných variant;Instantní zpracování obvykle zvyšuje rychlost trávení. U ochucených směsí použijte etiketu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
oves-steel-cut;Ovesná kaše;Obiloviny a snídaně;z řezaného ovsa (steel-cut);50;48;53;10.5;250;Reprezentativní hodnota z více testovaných variant;Méně narušená struktura zrna bývá spojena s nižším GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
muesli-prirodni;Müsli;Obiloviny a snídaně;nepražené, bez přidaného cukru;55;40;62;60.0;60;Reprezentativní hodnota z více testovaných variant;Rozpětí je široké podle podílu vloček, ořechů, semen a sušeného ovoce.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
muesli-prazene;Müsli nebo granola;Obiloviny a snídaně;pražené nebo křupavé;65;62;86;64.0;60;Reprezentativní hodnota z více testovaných variant;Pražení, jemnější struktura a přidaná sladidla mohou GI i množství sacharidů zvýšit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cornflakes;Kukuřičné lupínky;Obiloviny a snídaně;běžné cornflakes;77;66;93;81.0;40;Reprezentativní hodnota z více testovaných variant;"Testované výrobky se výrazně liší; většina je ve vysokém pásmu GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bran-flakes;Otrubové lupínky;Obiloviny a snídaně;bran flakes;65;50;74;67.0;40;Reprezentativní hodnota z více testovaných variant;"Obsah vlákniny sám o sobě nezaručuje nízký GI; důležitá je struktura výrobku.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jecne-kroupy-varene;Ječné kroupy;Obiloviny a snídaně;vařené;25;22;35;24.4;180;Reprezentativní hodnota z více testovaných variant;Míra obroušení, odrůda a délka vaření mohou hodnotu posunout.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pohanka-kroupy-varena;Pohanka;Obiloviny a snídaně;kroupy, vařené;50;46;51;17.0;180;Reprezentativní hodnota z více testovaných variant;"Hodnota platí pro vařené kroupy; vločky nebo instantní kaše mohou mít vyšší GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pohankova-kase-vlocky;Pohanková kaše;Obiloviny a snídaně;z vloček nebo instantnější úpravy;71;65;76;15.0;250;Reprezentativní hodnota z více testovaných variant;Silnější technologické narušení zrna může GI oproti celým kroupám zvýšit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bulgur-vareny;Bulgur;Obiloviny a snídaně;vařený;46;45;55;14.1;180;Reprezentativní hodnota z více testovaných variant;Hrubší bulgur a kratší vaření obvykle zpomalují trávení.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kuskus-vareny;Kuskus;Obiloviny a snídaně;zalitý horkou vodou;65;65;65;21.8;180;Přímé testování konkrétní varianty;"Přímo testovaná varianta; celozrnný nebo perlový kuskus se může lišit.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
quinoa-bila-varena;Quinoa;Obiloviny a snídaně;bílá, vařená;50;50;53;18.5;180;Reprezentativní hodnota z více testovaných variant;Rozpětí vychází z několika testovaných vařených variant.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
proso-jahly-varene;Jáhly;Obiloviny a snídaně;vařené;64;64;89;22.4;180;Reprezentativní hodnota z více testovaných variant;"Odrůda a způsob vaření mají velký vliv; proto je rozpětí záměrně široké.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
polenta-varena;Polenta;Obiloviny a snídaně;kukuřičná kaše, vařená;68;68;68;12.5;250;Přímé testování konkrétní varianty;"Přímo testovaná kukuřičná kaše; instantní výrobky se mohou lišit.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-basmati-bila;Rýže basmati;Rýže;bílá, vařená;62;57;67;25.2;180;Reprezentativní hodnota z více testovaných variant;Původní GI 50 byl příliš nízký jako obecná hodnota. Testované bílé basmati se často pohybují přibližně 57–67.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-basmati-parboiled;Rýže basmati;Rýže;parboiled, vařená;52;52;54;25.0;180;Reprezentativní hodnota z více testovaných variant;Předvaření v páře může u některých výrobků snížit GI oproti běžné bílé rýži.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-jasminova;Rýže jasmínová;Rýže;bílá, vařená;89;80;96;27.3;180;Reprezentativní hodnota z více testovaných variant;"Původní GI 80 zachycoval spodní hranici; většina testovaných jasmínových rýží je výše.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-dlouhozrnna-bila;Rýže dlouhozrnná;Rýže;bílá, vařená;60;47;76;26.3;180;Reprezentativní hodnota z více testovaných variant;Odrůda, obsah amylózy a doba vaření způsobují velmi široké rozpětí.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-natural;Rýže natural;Rýže;hnědá, vařená;65;48;87;21.7;180;Reprezentativní hodnota z více testovaných variant;"Hnědá barva sama o sobě nezaručuje nízký GI; záleží na odrůdě a zpracování.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-parboiled;Rýže parboiled;Rýže;dlouhozrnná, vařená;57;48;74;25.0;180;Reprezentativní hodnota z více testovaných variant;"Jednotlivé značky a odrůdy se liší; použita je reprezentativní střední hodnota.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-lepkava;Rýže lepkavá;Rýže;sticky rice, vařená;92;92;92;28.0;180;Přímé testování konkrétní varianty;Přímo testovaná lepkavá rýže měla vysoký GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryze-sushi;Rýže na sushi;Rýže;"krátkozrnná, vařená; bez započtení cukru v nálevu";89;80;92;28.0;180;Reprezentativní hodnota z více testovaných variant;"Krátkozrnná rýže bývá vysoko; ochucení cukrem množství sacharidů dále zvýší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzova-kase;Rýžová kaše;Rýže;rozvařená nebo instantnější;78;70;90;14.0;250;Reprezentativní hodnota z více testovaných variant;Rozvaření a jemná struktura obvykle zvyšují dostupnost škrobu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzove-chlebicky;Rýžové chlebíčky;Rýže;pufované;82;76;105;80.0;20;Reprezentativní hodnota z více testovaných variant;"Pufování výrazně narušuje strukturu škrobu; testované výrobky mají velmi široké a často vysoké GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
spagety-al-dente;Špagety;Těstoviny a nudle;al dente;45;32;52;28.0;200;Reprezentativní hodnota z více testovaných variant;Pevnější struktura těstovin zpomaluje trávení škrobu.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
spagety-mekke;Špagety;Těstoviny a nudle;měkce uvařené;58;52;64;28.0;200;Reprezentativní hodnota z více testovaných variant;Delší vaření zvyšuje želatinizaci škrobu a může GI zvýšit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
spagety-celozrnne;Špagety;Těstoviny a nudle;celozrnné, vařené;55;48;62;24.0;200;Reprezentativní hodnota z více testovaných variant;Celozrnné varianty se liší podle hrubosti mouky a doby vaření.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
penne-varene;Penne;Těstoviny a nudle;vařené na skus;50;44;59;27.0;200;Reprezentativní hodnota z více testovaných variant;Rozpětí vychází z více testovaných výrobků a různých dob vaření.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fusilli-varene;Fusilli;Těstoviny a nudle;vařené na skus;55;49;61;27.0;200;Reprezentativní hodnota z více testovaných variant;Tvar, výrobce a stupeň uvaření ovlivňují výsledek.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
tagliatelle-vajecne;Vaječné nudle nebo tagliatelle;Těstoviny a nudle;vařené;55;47;62;25.0;200;Reprezentativní hodnota z více testovaných variant;Použita je reprezentativní hodnota pro pšeničné vaječné těstoviny.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
lasagne-platy;Lasagne;Těstoviny a nudle;uvařené pláty bez omáčky;53;45;60;25.0;200;Reprezentativní hodnota z více testovaných variant;Kalkulace se týká pouze těstovinové složky, nikoli celého smíšeného jídla.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
gnocchi-bramborove;Gnocchi;Těstoviny a nudle;bramborové, vařené;68;68;68;29.0;200;Přímé testování konkrétní varianty;"Přímo testovaná varianta; receptury s různým podílem brambor a mouky se mohou lišit.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ryzove-testoviny;Rýžové těstoviny;Těstoviny a nudle;bezlepkové, vařené;51;51;51;25.0;200;Přímé testování konkrétní varianty;Přímo testovaná bezlepková rýžová pasta.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
psenicne-nudle;Pšeničné nudle;Těstoviny a nudle;sušené, vařené;62;55;62;25.0;200;Reprezentativní hodnota z více testovaných variant;Délka vaření a použitá mouka mohou hodnotu změnit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-varny-typ-a;Brambory;Brambory a další přílohy;"voskové, vařené; varný typ A";63;53;69;15.4;200;Reprezentativní hodnota z více testovaných variant;Nižší hodnoty se týkají konkrétních voskových odrůd, například Nicola nebo Charlotte.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-varny-typ-c;Brambory;Brambory a další přílohy;"moučnaté, vařené; varný typ C";79;74;101;15.4;200;Reprezentativní hodnota z více testovaných variant;"Moučnaté odrůdy mívají často vyšší GI; odrůda je zásadní.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-ve-slupce;Brambory;Brambory a další přílohy;vařené ve slupce;65;58;82;15.4;200;Reprezentativní hodnota z více testovaných variant;"Slupka sama nezaručuje nízký GI; důležitá je odrůda, rozvaření a velikost kusů.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bramborova-kase-domaci;Bramborová kaše;Brambory a další přílohy;domácí z vařených brambor;76;68;81;14.0;250;Reprezentativní hodnota z více testovaných variant;"Původní GI 87 byl příliš vysoký pro běžnou domácí kaši; instantní kaše je uvedena zvlášť.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bramborova-kase-instantni;Bramborová kaše;Brambory a další přílohy;instantní;88;69;97;13.0;250;Reprezentativní hodnota z více testovaných variant;Technologické zpracování a jemná struktura často vedou k vyššímu GI.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
brambory-pecene;Brambory;Brambory a další přílohy;pečené;90;69;103;18.0;250;Reprezentativní hodnota z více testovaných variant;Pečené brambory mají často vysoký GI, ale výsledek se silně mění podle odrůdy.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hranolky-trouba;Hranolky;Brambory a další přílohy;pečené v troubě;65;55;76;25.0;150;Reprezentativní hodnota z více testovaných variant;Použijte sacharidy z etikety konkrétního výrobku.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hranolky-smazene;Hranolky;Brambory a další přílohy;smažené;63;42;76;35.0;150;Reprezentativní hodnota z více testovaných variant;Tuk může zpomalit vyprazdňování žaludku, ale energetická hodnota a množství sacharidů zůstávají významné.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bataty-varene;Batáty;Brambory a další přílohy;vařené;46;41;61;17.1;200;Reprezentativní hodnota z více testovaných variant;"Vaření vede obvykle k nižším hodnotám než pečení; odrůdy se liší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
bataty-pecene;Batáty;Brambory a další přílohy;pečené;87;82;94;20.1;200;Reprezentativní hodnota z více testovaných variant;Pečení může výrazně zvýšit dostupnost škrobu oproti vaření.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kukurice-sladka;Kukuřice sladká;Brambory a další přílohy;vařená nebo z mikrovlnné trouby;53;51;55;12.9;150;Reprezentativní hodnota z více testovaných variant;Rozpětí vychází z přímo testovaných variant sladké kukuřice.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cocka-cervena;Čočka;Luštěniny;červená, vařená;26;14;42;12.0;180;Reprezentativní hodnota z více testovaných variant;"Odrůda a míra rozvaření způsobují rozdíly; luštěniny bývají většinou v nízkém pásmu GI.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cocka-zelena-hneda;Čočka;Luštěniny;zelená nebo hnědá, vařená;30;22;42;12.0;180;Reprezentativní hodnota z více testovaných variant;Pevnější zrna obvykle zpomalují trávení oproti silně rozvařené čočce.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
cizrna-varena;Cizrna;Luštěniny;vařená;28;10;36;19.0;180;Reprezentativní hodnota z více testovaných variant;Rozpětí zahrnuje různé odrůdy a způsoby vaření.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-cervene;Fazole;Luštěniny;červené kidney, vařené;24;19;35;16.0;180;Reprezentativní hodnota z více testovaných variant;Hodnoty se liší mezi konzervovanými a doma vařenými fazolemi.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-bile;Fazole;Luštěniny;bílé, vařené;31;24;40;18.0;180;Reprezentativní hodnota z více testovaných variant;Použita je reprezentativní hodnota pro vařené bílé fazole.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-v-tomatove-omacce;Fazole;Luštěniny;v rajčatové omáčce, konzervované;40;35;48;12.9;200;Reprezentativní hodnota z více testovaných variant;"Přidaný cukr v omáčce může zvýšit množství sacharidů; použijte etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hrasok-zeleny;Hrášek;Luštěniny;zelený, vařený;51;39;54;10.0;150;Reprezentativní hodnota z více testovaných variant;Čerstvý, mražený a konzervovaný hrášek se mohou lišit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hras-loupany;Hrách;Luštěniny;loupaný, vařený;32;25;35;13.0;180;Reprezentativní hodnota z více testovaných variant;Rozvaření a odrůda mohou hodnotu změnit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
fazole-cerne;Fazole;Luštěniny;černé, vařené;30;20;35;16.0;180;Reprezentativní hodnota z více testovaných variant;"Obvykle nízký GI; přesná hodnota závisí na odrůdě a přípravě.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hummus;Hummus;Luštěniny;cizrnová pomazánka;15;6;15;14.0;80;Reprezentativní hodnota z více testovaných variant;"Receptury se liší množstvím cizrny, tahini a dalších surovin; použijte etiketu, je-li dostupná.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jablko;Jablko;Ovoce;syrové se slupkou;44;36;44;12.1;150;Reprezentativní hodnota z více testovaných variant;"Aktuální přímo testovaná syrová jablka měla GI 44; odrůda a zralost mohou výsledek mírně posunout.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hruska;Hruška;Ovoce;syrová, zralá;38;24;42;12.1;160;Reprezentativní hodnota z více testovaných variant;Nezralá hruška může mít nižší GI než velmi zralá.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
banan-stredne-zraly;Banán;Ovoce;středně zralý;49;47;53;20.1;120;Reprezentativní hodnota z více testovaných variant;Zralost významně mění složení škrobu a cukrů.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
banan-prezraly;Banán;Ovoce;přezrálý;57;57;57;20.1;120;Přímé testování konkrétní varianty;Přímo testovaný přezrálý banán měl vyšší GI než běžně zralá varianta.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
pomeranc;Pomeranč;Ovoce;syrový;45;40;45;9.1;180;Reprezentativní hodnota z více testovaných variant;Celý plod obsahuje strukturu a vlákninu, které džus postrádá.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mandarinka;Mandarinka;Ovoce;syrová;47;42;50;10.0;120;Reprezentativní hodnota z více testovaných variant;"Reprezentativní hodnota pro citrusový plod; odrůdy se liší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
grapefruit;Grapefruit;Ovoce;syrový;25;25;35;8.0;200;Reprezentativní hodnota z více testovaných variant;"Nízká hodnota je orientační; velikost a sladkost plodu se liší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
hrozny;Hroznové víno;Ovoce;čerstvé;54;50;59;17.0;150;Reprezentativní hodnota z více testovaných variant;"Původní GI 59 odpovídal horní hranici; reprezentativní hodnota je přibližně 54.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jahody;Jahody;Ovoce;čerstvé;40;25;41;5.7;150;Reprezentativní hodnota z více testovaných variant;Nízké množství sacharidů v běžné porci obvykle vede k nízké GL.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
boruvky;Borůvky;Ovoce;čerstvé;53;50;53;12.1;150;Reprezentativní hodnota z více testovaných variant;Hodnota vychází mimo jiné z přímo testovaných divokých borůvek.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
maliny;Maliny;Ovoce;čerstvé;25;25;32;5.4;150;Reprezentativní hodnota z více testovaných variant;GI je orientační, ale nízké množství dostupných sacharidů udržuje GL porce nízkou.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
meloun-vodni;Vodní meloun;Ovoce;čerstvý;51;47;55;7.1;250;Reprezentativní hodnota z více testovaných variant;"Novější testované hodnoty jsou přibližně 47–55; starší tabulky často uváděly vyšší čísla.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mango;Mango;Ovoce;čerstvé;51;41;56;13.5;150;Reprezentativní hodnota z více testovaných variant;Odrůda a zralost mají vliv na GI i obsah cukrů.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
ananas;Ananas;Ovoce;čerstvý;59;51;66;11.7;150;Reprezentativní hodnota z více testovaných variant;Čerstvý, konzervovaný a velmi zralý ananas se mohou lišit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
broskev;Broskev;Ovoce;čerstvá;42;28;56;8.5;150;Reprezentativní hodnota z více testovaných variant;Rozpětí je širší kvůli odrůdám a stupni zralosti.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
nektarinka;Nektarinka;Ovoce;čerstvá;43;43;43;9.0;150;Přímé testování konkrétní varianty;Přímo testovaná čerstvá nektarinka.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kiwi;Kiwi;Ovoce;čerstvé;47;47;47;11.0;150;Přímé testování konkrétní varianty;Přímo testovaná čerstvá varianta.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
tresne;Třešně;Ovoce;čerstvé;22;22;29;13.8;150;Reprezentativní hodnota z více testovaných variant;Odrůda a zralost mohou hodnotu měnit.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
svestky;Švestky;Ovoce;čerstvé;35;24;40;10.2;150;Reprezentativní hodnota z více testovaných variant;Použita je reprezentativní hodnota pro čerstvé švestky.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
merunky;Meruňky;Ovoce;čerstvé;38;34;42;9.1;150;Reprezentativní hodnota z více testovaných variant;Přímo testované čerstvé meruňky se pohybovaly přibližně 34–42.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
merunky-susene;Sušené meruňky;Ovoce;neslazené;42;32;56;55.0;40;Reprezentativní hodnota z více testovaných variant;GI může být nízký až střední, ale koncentrované sacharidy mohou zvýšit GL porce.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
rozinky;Rozinky;Ovoce;sušené;64;54;66;75.0;40;Reprezentativní hodnota z více testovaných variant;Malá hmotnost porce je důležitá, protože sacharidy jsou koncentrované.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
datle;Datle;Ovoce;sušené, běžné odrůdy;49;46;54;70.0;40;Reprezentativní hodnota z více testovaných variant;Přímo testované odrůdy se často pohybovaly přibližně 46–54.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mleko-polotucne;Mléko;Mléčné výrobky;polotučné;29;25;31;4.8;250;Reprezentativní hodnota z více testovaných variant;Mléčné výrobky mohou vyvolávat vyšší inzulinovou odpověď, než by samotný GI naznačoval.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mleko-plnotucne;Mléko;Mléčné výrobky;plnotučné;32;30;46;4.7;250;Reprezentativní hodnota z více testovaných variant;"Přímo testované výrobky se lišily; použita je reprezentativní hodnota novějších testů.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jogurt-bily;Bílý jogurt;Mléčné výrobky;neslazený;17;11;36;4.7;150;Reprezentativní hodnota z více testovaných variant;"Obsah sacharidů se liší podle odkapaní a kultury; použijte etiketu.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jogurt-recky;Řecký jogurt;Mléčné výrobky;bílý, neslazený;12;11;19;3.8;150;Reprezentativní hodnota z více testovaných variant;Nízké množství sacharidů vede zpravidla k velmi nízké GL.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
jogurt-ovocny;Ovocný jogurt;Mléčné výrobky;slazený;41;33;50;13.0;150;Reprezentativní hodnota z více testovaných variant;"Receptury se výrazně liší množstvím přidaného cukru; etiketa má přednost.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
kefir;Kefír;Mléčné výrobky;bílý, neochucený;18;11;36;4.5;250;Reprezentativní hodnota z více testovaných variant;"Fermentované mléčné výrobky mají často nízký GI; konkrétní kultura a receptura se liší.";University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
mleko-cokoladove;Čokoládové mléko;Mléčné výrobky;slazené;32;24;37;10.5;250;Reprezentativní hodnota z více testovaných variant;Použijte sacharidy z etikety konkrétního výrobku.;University of Sydney GI Search / International Tables 2021;https://glycemicindex.com/gi-search/
